OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 000101,In-Store,WARE-UHY1004,12/31/2017,5/31/2018,6/14/2018,6/19/2018,USD,6,15,259,12,5,0.075,"1,963.10","1,001.18"
SO - 000102,Online,WARE-NMK1003,12/31/2017,5/31/2018,6/22/2018,7/2/2018,USD,14,20,196,27,3,0.075,"3,939.60","3,348.66"
SO - 000103,Distributor,WARE-UHY1004,12/31/2017,5/31/2018,6/21/2018,7/1/2018,USD,21,16,213,16,1,0.05,"1,775.50",781.22
SO - 000104,Wholesale,WARE-NMK1003,12/31/2017,5/31/2018,6/2/2018,6/7/2018,USD,28,48,107,23,8,0.075,"2,324.90","1,464.69"
SO - 000105,Distributor,WARE-NMK1003,4/10/2018,5/31/2018,6/16/2018,6/26/2018,USD,22,49,111,26,8,0.1,"1,822.40","1,476.14"
SO - 000106,Online,WARE-PUJ1005,12/31/2017,5/31/2018,6/8/2018,6/13/2018,USD,12,21,285,1,5,0.05,"1,038.50",446.56
SO - 000107,In-Store,WARE-XYS1001,12/31/2017,5/31/2018,6/8/2018,6/14/2018,USD,10,14,6,5,4,0.15,"1,192.60",536.67
SO - 000108,In-Store,WARE-PUJ1005,4/10/2018,5/31/2018,6/26/2018,7/1/2018,USD,6,9,280,46,5,0.05,"1,815.70","1,525.19"
SO - 000109,In-Store,WARE-PUJ1005,12/31/2017,6/1/2018,6/16/2018,6/21/2018,USD,4,9,299,47,4,0.3,"3,879.30","2,211.20"
SO - 000110,In-Store,WARE-UHY1004,12/31/2017,6/1/2018,6/29/2018,7/1/2018,USD,10,33,261,13,8,0.05,"1,956.40","1,212.97"
SO - 000111,Distributor,WARE-XYS1001,12/31/2017,6/1/2018,6/15/2018,6/20/2018,USD,23,21,17,38,6,0.1,201.00,124.62
SO - 000112,In-Store,WARE-NMK1003,4/10/2018,6/1/2018,6/7/2018,6/17/2018,USD,10,21,152,40,5,0.15,"6,277.90","2,762.28"
SO - 000113,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/22/2018,7/2/2018,USD,4,36,317,39,5,0.05,"1,051.90",641.66
SO - 000114,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/7/2018,6/15/2018,USD,8,17,291,32,6,0.15,254.60,216.41
SO - 000115,In-Store,WARE-NMK1003,12/31/2017,6/1/2018,6/15/2018,6/20/2018,USD,9,32,138,6,6,0.15,"3,932.90","3,146.32"
SO - 000116,In-Store,WARE-MKL1006,12/31/2017,6/1/2018,6/24/2018,7/2/2018,USD,5,11,354,25,3,0.05,"1,112.20",700.69
SO - 000117,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/19/2018,6/27/2018,USD,9,10,320,6,3,0.075,"1,239.50",904.84
SO - 000118,In-Store,WARE-XYS1001,4/10/2018,6/1/2018,6/6/2018,6/14/2018,USD,8,30,21,3,4,0.1,984.90,393.96
SO - 000119,In-Store,WARE-MKL1006,4/10/2018,6/1/2018,6/7/2018,6/15/2018,USD,5,5,349,20,4,0.1,"5,581.10","4,130.01"
SO - 000120,Online,WARE-NMK1003,12/31/2017,6/1/2018,6/11/2018,6/17/2018,USD,14,23,134,24,4,0.05,"3,095.40","1,795.33"
SO - 000121,Wholesale,WARE-NMK1003,4/10/2018,6/1/2018,6/18/2018,6/20/2018,USD,25,46,193,33,4,0.4,"2,278.00","1,754.06"
SO - 000122,In-Store,WARE-PUJ1005,4/10/2018,6/2/2018,6/10/2018,6/16/2018,USD,2,14,282,1,7,0.075,991.60,654.46
SO - 000123,In-Store,WARE-XYS1001,4/10/2018,6/2/2018,6/26/2018,6/28/2018,USD,7,40,20,35,2,0.2,"3,979.80","3,064.45"
SO - 000124,Distributor,WARE-UHY1004,12/31/2017,6/2/2018,6/22/2018,7/2/2018,USD,24,19,218,15,3,0.4,"1,969.80",866.71
SO - 000125,In-Store,WARE-NMK1003,4/10/2018,6/2/2018,6/16/2018,6/24/2018,USD,4,15,173,13,1,0.15,268.00,131.32
SO - 000126,Online,WARE-NMK1003,12/31/2017,6/2/2018,6/21/2018,7/1/2018,USD,18,46,110,24,7,0.1,174.20,95.81
SO - 000127,In-Store,WARE-UHY1004,12/31/2017,6/2/2018,6/26/2018,7/6/2018,USD,7,32,229,46,3,0.075,"2,988.20","2,510.09"
SO - 000128,In-Store,WARE-UHY1004,12/31/2017,6/2/2018,6/20/2018,6/29/2018,USD,9,32,238,36,4,0.05,"3,999.90","2,679.93"
SO - 000129,Distributor,WARE-NMK1003,4/10/2018,6/2/2018,6/21/2018,6/22/2018,USD,20,22,97,37,3,0.05,"5,976.40","2,450.32"
SO - 000130,In-Store,WARE-NMK1003,4/10/2018,6/2/2018,6/27/2018,6/29/2018,USD,8,5,103,32,5,0.1,"2,901.10","2,378.90"
SO - 000131,In-Store,WARE-PUJ1005,4/10/2018,6/3/2018,6/26/2018,7/5/2018,USD,8,29,305,23,7,0.075,"6,076.90","2,734.61"
SO - 000132,Online,WARE-PUJ1005,12/31/2017,6/3/2018,6/5/2018,6/10/2018,USD,13,35,303,14,7,0.2,"5,735.20","4,186.70"
SO - 000133,Online,WARE-UHY1004,12/31/2017,6/3/2018,6/30/2018,7/10/2018,USD,19,46,217,7,3,0.1,"3,919.50","2,077.34"
SO - 000134,Online,WARE-MKL1006,12/31/2017,6/3/2018,6/30/2018,7/5/2018,USD,17,42,362,46,1,0.05,"6,083.60","3,832.67"
SO - 000135,Wholesale,WARE-MKL1006,4/10/2018,6/3/2018,6/14/2018,6/15/2018,USD,26,2,335,40,5,0.075,"2,566.10","1,642.30"
SO - 000136,Distributor,WARE-NBV1002,12/31/2017,6/3/2018,6/7/2018,6/13/2018,USD,22,28,84,38,2,0.075,"2,278.00","1,093.44"
SO - 000137,In-Store,WARE-UHY1004,12/31/2017,6/3/2018,6/14/2018,6/21/2018,USD,7,46,256,1,1,0.075,261.30,120.20
SO - 000138,Online,WARE-MKL1006,12/31/2017,6/3/2018,6/28/2018,7/8/2018,USD,12,22,360,17,8,0.05,998.30,698.81
SO - 000139,In-Store,WARE-NMK1003,12/31/2017,6/3/2018,6/13/2018,6/21/2018,USD,4,34,90,40,6,0.2,"3,497.40","1,958.54"
SO - 000140,In-Store,WARE-NMK1003,12/31/2017,6/3/2018,6/18/2018,6/28/2018,USD,9,26,196,25,4,0.05,"1,132.30",486.89
SO - 000141,In-Store,WARE-XYS1001,12/31/2017,6/3/2018,6/15/2018,6/17/2018,USD,7,26,40,2,7,0.05,"2,405.30","1,587.50"
SO - 000142,Distributor,WARE-MKL1006,12/31/2017,6/3/2018,6/24/2018,7/3/2018,USD,24,24,367,3,8,0.05,"5,701.70","3,249.97"
SO - 000143,Distributor,WARE-UHY1004,12/31/2017,6/4/2018,6/9/2018,6/16/2018,USD,25,18,249,34,1,0.2,"2,452.20","1,446.80"
SO - 000144,In-Store,WARE-XYS1001,12/31/2017,6/4/2018,6/30/2018,7/4/2018,USD,11,21,6,11,3,0.05,"3,095.40","2,012.01"
SO - 000145,Online,WARE-UHY1004,12/31/2017,6/4/2018,6/12/2018,6/14/2018,USD,15,14,212,8,4,0.4,"3,865.90","2,164.90"
SO - 000146,Distributor,WARE-XYS1001,12/31/2017,6/4/2018,6/10/2018,6/15/2018,USD,23,3,37,11,8,0.1,"2,304.80","1,382.88"
SO - 000147,Online,WARE-XYS1001,12/31/2017,6/4/2018,6/21/2018,6/24/2018,USD,17,13,38,35,3,0.05,"3,195.90","1,470.11"
SO - 000148,Online,WARE-PUJ1005,12/31/2017,6/4/2018,6/19/2018,6/26/2018,USD,18,49,294,33,7,0.05,"6,452.10","5,161.68"
SO - 000149,Distributor,WARE-NMK1003,12/31/2017,6/5/2018,6/14/2018,6/17/2018,USD,24,4,105,16,3,0.3,"2,003.30",921.52
SO - 000150,Distributor,WARE-XYS1001,4/10/2018,6/5/2018,6/28/2018,7/7/2018,USD,23,20,17,8,8,0.05,"3,638.10","1,455.24"
SO - 000151,In-Store,WARE-NMK1003,4/10/2018,6/5/2018,6/14/2018,6/17/2018,USD,4,19,109,44,3,0.075,"2,278.00","1,822.40"
SO - 000152,Online,WARE-NMK1003,4/10/2018,6/5/2018,6/25/2018,6/29/2018,USD,16,25,141,22,6,0.3,924.60,582.50
SO - 000153,Online,WARE-NMK1003,4/10/2018,6/5/2018,6/21/2018,7/1/2018,USD,19,8,111,16,5,0.05,"3,926.20","3,062.44"
SO - 000154,Distributor,WARE-MKL1006,12/31/2017,6/5/2018,6/12/2018,6/18/2018,USD,23,24,349,25,4,0.075,"3,825.70","2,257.16"
SO - 000155,Wholesale,WARE-MKL1006,12/31/2017,6/5/2018,7/3/2018,7/8/2018,USD,27,13,360,4,3,0.05,"2,257.90","1,377.32"
SO - 000156,Distributor,WARE-NMK1003,12/31/2017,6/6/2018,7/2/2018,7/8/2018,USD,24,32,148,33,8,0.075,"1,112.20",756.30
SO - 000157,Online,WARE-NMK1003,12/31/2017,6/6/2018,6/22/2018,6/23/2018,USD,19,28,103,45,8,0.05,"3,557.70","1,814.43"
SO - 000158,Online,WARE-NBV1002,12/31/2017,6/6/2018,6/9/2018,6/12/2018,USD,13,8,59,45,3,0.4,"2,371.80","1,233.34"
SO - 000159,Online,WARE-NBV1002,12/31/2017,6/6/2018,7/1/2018,7/4/2018,USD,14,47,60,1,1,0.4,857.60,686.08
SO - 000160,In-Store,WARE-UHY1004,12/31/2017,6/7/2018,6/14/2018,6/16/2018,USD,11,33,238,20,5,0.3,"3,892.70","2,880.60"
SO - 000161,In-Store,WARE-NMK1003,12/31/2017,6/7/2018,6/13/2018,6/15/2018,USD,3,26,151,21,6,0.075,"3,477.30","1,390.92"
SO - 000162,Online,WARE-NMK1003,12/31/2017,6/7/2018,6/11/2018,6/21/2018,USD,13,20,152,44,5,0.1,"3,738.60","2,803.95"
SO - 000163,Online,WARE-PUJ1005,4/10/2018,6/7/2018,6/10/2018,6/13/2018,USD,20,6,262,8,5,0.3,"1,072.00",589.60
SO - 000164,In-Store,WARE-NMK1003,4/10/2018,6/7/2018,7/1/2018,7/2/2018,USD,5,40,120,46,7,0.05,"2,257.90","1,761.16"
SO - 000165,Online,WARE-UHY1004,4/10/2018,6/7/2018,6/11/2018,6/13/2018,USD,18,23,233,46,3,0.1,"1,058.60",751.61
SO - 000166,Online,WARE-NBV1002,4/10/2018,6/7/2018,6/15/2018,6/25/2018,USD,13,38,77,39,4,0.1,"2,492.40","1,296.05"
SO - 000167,In-Store,WARE-NBV1002,4/10/2018,6/7/2018,6/13/2018,6/21/2018,USD,4,30,69,11,5,0.05,"3,852.50","2,465.60"
SO - 000168,Distributor,WARE-UHY1004,12/31/2017,6/8/2018,6/19/2018,6/25/2018,USD,23,42,215,37,8,0.05,241.20,132.66
SO - 000169,In-Store,WARE-XYS1001,12/31/2017,6/8/2018,6/11/2018,6/17/2018,USD,9,1,30,35,2,0.15,"1,051.90",494.39
SO - 000170,Distributor,WARE-NMK1003,12/31/2017,6/8/2018,6/14/2018,6/19/2018,USD,25,11,169,10,5,0.3,227.80,107.07
SO - 000171,Distributor,WARE-MKL1006,4/10/2018,6/8/2018,6/14/2018,6/15/2018,USD,24,4,333,14,5,0.05,"1,078.70",506.99
SO - 000172,Wholesale,WARE-NMK1003,4/10/2018,6/8/2018,6/13/2018,6/20/2018,USD,28,6,96,10,8,0.15,"1,005.00",743.70
SO - 000173,Distributor,WARE-PUJ1005,4/10/2018,6/8/2018,7/3/2018,7/9/2018,USD,24,17,289,45,5,0.05,"2,485.70","1,317.42"
SO - 000174,In-Store,WARE-NMK1003,4/10/2018,6/8/2018,6/30/2018,7/6/2018,USD,3,7,140,22,3,0.05,"2,659.90","2,154.52"
SO - 000175,In-Store,WARE-NMK1003,4/10/2018,6/9/2018,6/28/2018,7/3/2018,USD,1,1,107,1,1,0.075,"2,224.40","1,579.32"
SO - 000176,In-Store,WARE-MKL1006,4/10/2018,6/9/2018,6/12/2018,6/16/2018,USD,11,27,338,35,7,0.2,"2,472.30","1,260.87"
SO - 000177,In-Store,WARE-UHY1004,4/10/2018,6/9/2018,6/23/2018,6/24/2018,USD,5,33,232,15,5,0.05,"1,011.70",799.24
SO - 000178,Wholesale,WARE-UHY1004,4/10/2018,6/9/2018,7/5/2018,7/13/2018,USD,26,28,231,28,6,0.2,234.50,128.98
SO - 000179,Online,WARE-NMK1003,4/10/2018,6/9/2018,6/14/2018,6/17/2018,USD,13,42,158,11,4,0.075,261.30,143.72
SO - 000180,Online,WARE-XYS1001,12/31/2017,6/9/2018,6/27/2018,7/1/2018,USD,18,5,36,29,7,0.1,"4,006.60","2,844.69"
SO - 000181,In-Store,WARE-UHY1004,4/10/2018,6/9/2018,7/5/2018,7/13/2018,USD,3,10,206,28,7,0.05,"1,333.30",866.65
SO - 000182,In-Store,WARE-UHY1004,4/10/2018,6/10/2018,7/7/2018,7/9/2018,USD,10,34,255,15,5,0.05,167.50,90.45
SO - 000183,Online,WARE-MKL1006,4/10/2018,6/10/2018,6/28/2018,7/2/2018,USD,14,23,336,27,7,0.075,"3,195.90","1,821.66"
SO - 000184,Online,WARE-PUJ1005,4/10/2018,6/10/2018,6/30/2018,7/5/2018,USD,20,18,307,15,1,0.05,"1,051.90",809.96
SO - 000185,Online,WARE-XYS1001,12/31/2017,6/10/2018,6/30/2018,7/3/2018,USD,15,8,9,28,4,0.1,"5,447.10","3,540.62"
SO - 000186,Online,WARE-NMK1003,4/10/2018,6/10/2018,6/16/2018,6/24/2018,USD,13,36,200,18,2,0.075,"3,182.50","1,973.15"
SO - 000187,In-Store,WARE-MKL1006,12/31/2017,6/11/2018,6/29/2018,7/1/2018,USD,6,47,337,30,3,0.1,891.10,632.68
SO - 000188,Online,WARE-NMK1003,12/31/2017,6/11/2018,6/16/2018,6/19/2018,USD,15,27,158,31,2,0.2,"3,892.70","2,724.89"
SO - 000189,Online,WARE-UHY1004,12/31/2017,6/11/2018,6/13/2018,6/16/2018,USD,13,5,249,8,2,0.4,"3,953.00","3,360.05"
SO - 000190,Online,WARE-NMK1003,12/31/2017,6/11/2018,6/28/2018,7/7/2018,USD,20,38,185,5,2,0.3,924.60,545.51
SO - 000191,Online,WARE-NMK1003,4/10/2018,6/11/2018,7/7/2018,7/8/2018,USD,20,21,189,10,7,0.3,"3,430.40","1,989.63"
SO - 000192,Distributor,WARE-NMK1003,4/10/2018,6/11/2018,6/28/2018,7/6/2018,USD,22,24,170,43,7,0.075,"1,152.40",622.30
SO - 000193,Distributor,WARE-NMK1003,4/10/2018,6/11/2018,6/21/2018,6/24/2018,USD,21,25,130,37,4,0.1,"1,085.40",922.59
SO - 000194,In-Store,WARE-NMK1003,12/31/2017,6/12/2018,6/16/2018,6/22/2018,USD,5,11,149,15,5,0.1,"5,031.70","4,025.36"
